# ExxonMobil corporate turnaround plan (AMR Turnaround Schedule 2026 FP, Query1 sheet).
# Vendored from the operator's own plan to VERIFY the IIR Exxon outage records (per-unit, by site/date).
# bucket = focus unit class derived from platform/subunit (CDU/FCC/Hydrocracker/Reformer/Coker/Hydrotreater/Other).
site,unit,platform,subunit,bucket,year,start,end,event,region
Strathcona Refinery,HTIP,Hydroprocessing,HAGO Treater,Hydrotreater,2030,2030-09-01,2030-09-27,3Q30 Strathcona Shutdown,North America
Strathcona Refinery,O1F,Utilities,Flare,Other,2030,2030-09-01,2030-10-31,3Q30 Strathcona Shutdown,North America
Strathcona Refinery,RHIE,Hydroprocessing,HYDT,Hydrotreater,2030,2030-09-01,2030-09-29,3Q30 Strathcona Shutdown,North America
Strathcona Refinery,UP,Utilities,Utilities Plant,Other,2030,2030-03-07,2030-05-06,2Q30 Stathcona Shutdown,North America
Beaumont Complex,GTG 41 SCR,Miscellaneous,OTHER,Other,2030,2030-01-31,2030-02-12,GTG41: 12 days - 1Q,North America
Beaumont Complex,GTG 41 SCR,Miscellaneous,OTHER,Other,2030,2030-01-31,2030-02-12,GTG41: 12 days - 1Q,North America
Beaumont Complex,GTG 41 SCR,Miscellaneous,OTHER,Other,2030,2030-01-31,2030-02-12,GTG41: 12 days - 1Q,North America
Beaumont Complex,ALKY FD HDT,Hydroprocessing,HYDT,Hydrotreater,2030,2030-01-14,2030-01-28,Alky R1: 14 days - 1Q,North America
Beaumont Complex,ALKY FD HDT,Hydroprocessing,HYDT,Hydrotreater,2030,2030-01-14,2030-01-28,Alky R1: 14 days - 1Q,North America
Beaumont Complex,SWS,Gas Processing,Sour Water Stripper,Other,2030,2030-02-04,2030-03-06,SWS2: 30 days - 1Q,North America
Beaumont Complex,SWS,Gas Processing,Sour Water Stripper,Other,2030,2030-02-04,2030-03-06,SWS2: 30 days - 1Q,North America
Beaumont Complex,GTG 42 SCR,Miscellaneous,OTHER,Other,2030,2030-02-04,2030-02-16,GTG42: 12 days - 1Q,North America
Beaumont Complex,GTG 42 SCR,Miscellaneous,OTHER,Other,2030,2030-02-04,2030-02-16,GTG42: 12 days - 1Q,North America
Beaumont Complex,COKER,Coking,Coker,Coker,2030,2030-03-31,2030-04-30,Coker: 30 days - 2Q,North America
Beaumont Complex,COKER,Coking,Coker,Coker,2030,2030-03-31,2030-04-30,Coker: 30 days - 2Q,North America
Beaumont Complex,GTG 24 SCR,Miscellaneous,OTHER,Other,2030,2030-10-27,2030-12-26,GTG 43: 60 days - 4Q,North America
Beaumont Complex,GTG 24 SCR,Miscellaneous,OTHER,Other,2030,2030-10-27,2030-12-26,GTG 43: 60 days - 4Q,North America
Beaumont Complex,Utilities,Utilities,,Other,2030,2030-04-28,2030-05-28,Boiler 33: 30 days - 5/1,North America
Beaumont Complex,Utilities,Utilities,,Other,2030,2030-04-28,2030-05-28,Boiler 33: 30 days - 5/1,North America
Beaumont Complex,Utilities,Utilities,,Other,2030,2030-09-01,2030-10-01,Boiler 34: 30 days - 9/1,North America
Beaumont Complex,BRU,Environmental,Benzene Recovery South,Other,2030,2030-08-04,2030-08-25,S-BRU: 21 days - 3Q,North America
Beaumont Complex,BRU,Environmental,Benzene Recovery South,Other,2030,2030-08-04,2030-08-25,S-BRU: 21 days - 3Q,North America
Beaumont Complex,CUA,Distillation,Vacuum Distillation A2,CDU,2030,2030-09-29,2030-10-24,CUA VT-2: 25 days - 4Q,North America
Beaumont Complex,CUA,Distillation,Vacuum Distillation A2,CDU,2030,2030-09-29,2030-10-24,CUA VT-2: 25 days - 4Q,North America
Beaumont Complex,HYD/CYC,Aromatics,Hydrotreater,Other,2030,2030-09-29,2030-10-24,Treater 3: 25 days - 4Q,North America
Beaumont Complex,HYD/CYC,Aromatics,Hydrotreater,Other,2030,2030-09-29,2030-10-24,Treater 3: 25 days - 4Q,North America
Beaumont Complex,Coldbox,Offsites,Coldbox,Other,2030,2030-09-29,2030-10-24,Cold Box: 25 day - 4Q,North America
Beaumont Complex,Coldbox,Offsites,Coldbox,Other,2030,2030-09-29,2030-10-24,Cold Box: 25 day - 4Q,North America
Baton Rouge Refinery,PSLA-10,Distillation,VAC,CDU,2031,2031-01-17,2031-03-11,PSLA-10 1Q31,North America
Baton Rouge Refinery,FECKR,Coking,Far East Coker,Coker,2031,2031-01-01,2031-02-05,31Q1 Baton Rouge Far East Coker,North America
Baton Rouge Chemical Plant,OXO-HP,Oxo,High Pressure OXO,Other,2031,2031-09-01,2031-10-01,31Q3 OXO/Poly Turnaround,North America
Baton Rouge Chemical Plant,OXO-HP,Oxo,High Pressure OXO,Other,2031,2031-09-01,2031-10-01,31Q3 OXO/Poly Turnaround,North America
Baton Rouge Chemical Plant,POLY,Oxo,POLY,Other,2031,2031-09-01,2031-10-01,31Q3 OXO/Poly Turnaround,North America
Baton Rouge Refinery,HULA,Hydroprocessing,Hydrofiner Unit,Hydrotreater,2031,2031-05-04,2031-05-27,HULA R-801: 23 Days- Q2,North America
Baton Rouge Refinery,HHLA-S,Hydroprocessing,HYDT,Hydrotreater,2031,2031-09-09,2031-10-02,31Q3 HHLA-S,North America
Baton Rouge Refinery,PHLA,Distillation,Feed Preparation,Other,2031,2031-01-19,2031-02-26,Feed prep/T30: 38 days - 1/17,North America
Baton Rouge Chemical Plant,EPLAS,Olefin Recovery,EPLAS Process Gas Compressor,Other,2031,2031-09-01,2031-10-23,Maintrain Turnaround,North America
Baton Rouge Chemical Plant,OLA-2X,Olefin Recovery,Light Olefins 2X Process Gas Compressor,Other,2031,2031-09-01,2031-10-23,Maintrain Turnaround,North America
Baton Rouge Refinery,ALKY,Alkylation,Alkylation Strat,Other,2031,2031-10-05,2031-11-19,ALKY Stratco: 45 days - 4Q,North America
Baytown Refinery,HU 6A,Hydroprocessing,DHYT,Hydrotreater,2031,2031-08-01,2031-09-01,2031 HU-6A Cat C/O,North America
Baytown Refinery,HU10,Hydroprocessing,Hydrofiner 10,Hydrotreater,2031,2031-05-15,2031-06-17,2031 HU-10 R901A C/O,North America
Baytown Refinery,HU10,Hydroprocessing,Hydrofiner 10,Hydrotreater,2031,2031-05-15,2031-06-24,2031 HU-10 R901A C/O,North America
Baytown Refinery,SCU2,Gas Processing,Claus A Train,Other,2031,2031-05-15,2031-06-24,2031 HU-10 R901A C/O,North America
Baytown Refinery,SCU2,Gas Processing,Tail gas cleanup B,Other,2031,2031-05-15,2031-06-24,2031 HU-10 R901A C/O,North America
Beaumont Complex,GTG 24 SCR,Miscellaneous,OTHER,Other,2031,2031-01-19,2031-03-20,GTG 24: 60 days - 1Q,North America
